id,area,cocaine_low,cocaine_medium,cocaine_high,crack_low,crack_medium,crack_high,heroine_low,heroine_medium,heroine_high,prescriptions_low,prescriptions_medium,prescriptions_high,stimulants_low,stimulants_medium,stimulants_high,meth_low,meth_medium,meth_high,
A37,Willowdale West,5.4458E-10,3.97854E-10,0.000465833,3.70141E-10,0.000150615,0.000144026,1.41415E-10,1.56442E-10,0.000357472,0.000505816,0.001253902,0.007748225,1.99533E-09,0.00054575,0.00203853,3.06505E-10,1.09443E-10,0.000458841,
A72,Regent Park,0.001301167,0.002713029,0.004915891,0.00017188,0.000213726,0.001747168,0.000250731,9.20986E-05,0.000817766,0.005155917,0.006504077,0.027508006,0.000345292,0.000993457,0.004638621,8.87779E-05,0.000179948,0.004043513,
A119,Wexford/Maryvale,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A59,Danforth-East York,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A84,Little Portugal,0.004210157,0.005226878,0.011929513,0.000371017,0.00147526,0.001836485,0.000690444,0.000382658,0.002752839,0.00780348,0.014883095,0.036218201,0.001244616,0.001716066,0.008751014,0.000140483,0.000350054,0.005037978,
A124,Kennedy Park,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A125,Ionview,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A80,Palmerston-Little Italy,0.007313818,0.010488272,0.007857197,0.000826948,0.001732761,0.001004318,0.001769942,0.004867829,0.005404421,0.012491106,0.022076021,0.046927327,0.007628291,0.005003506,0.013457216,0.000810493,0.000628699,0.003913189,
A83,Dufferin Grove,0.004210157,0.005226878,0.011929513,0.000371017,0.00147526,0.001836485,0.000690444,0.000382658,0.002752839,0.00780348,0.014883095,0.036218201,0.001244616,0.001716066,0.008751014,0.000140483,0.000350054,0.005037978,
A61,Taylor-Massey,0.001301167,0.002713029,0.004915891,0.00017188,0.000213726,0.001747168,0.000250731,9.20986E-05,0.000817766,0.005155917,0.006504077,0.027508006,0.000345292,0.000993457,0.004638621,8.87779E-05,0.000179948,0.004043513,
A74,North St. James Town,0.004795972,0.005612474,0.013786804,0.000667384,0.000927569,0.002589365,0.000566429,0.000270305,0.002996102,0.007286003,0.014655132,0.040020362,0.000892459,0.003071106,0.01115229,6.97674E-05,0.000426363,0.006928862,
A36,Newtonbrook West,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A82,Niagara,0.007313818,0.010488272,0.007857197,0.000826948,0.001732761,0.001004318,0.001769942,0.004867829,0.005404421,0.012491106,0.022076021,0.046927327,0.007628291,0.005003506,0.013457216,0.000810493,0.000628699,0.003913189,
